"ID","name"
"CL:2000053","Splenic endothelial cell"
NA,"Catecholaminergic Neuron"
"CL:0000788","Naive B Cell"
"CL:0000787","Memory-Like B Cell"
"CL:0000972","Switched B Cell"
NA,"Adventitial Stromal Cell"
NA,"Splenic Stromal Cell (non-FRC/non-FDC)"
NA,"Splenic Smooth Muscle Cell"
NA,"Splenic Pericyte"
NA,"Splenic Stromal Sheath Cell"
"CL:0000874","Macrophage"
NA,"Reticular Cell of splenic sinusoid"
NA,"Splenic Littoral Cell"
NA,"Splenic Red Pulp Stromal Cell"
"CL:0000874","Red Pulp Macrophage"
"CL:0000037","Hematopoetic Stem Cell"
"CL:0001055","Monocytes"
"CL:0000232","Erythrocytes"
NA,"B cell"
"CL:0000625","CD8+ T Cell"
"CL:0000909","Memory CD8+ T Cell"
"CL:0000786","Plasma Cell"
"CL:0000980","Plasmablast"
"CL:0001056","Dendritic Cell"
"CL:0000233","Platelet"
"CL:0000623","NK Cell"
"CL:1000489","Red Pulp Reticular Cell"
"CL:0000775","Neutrophil"
NA,"Splenic perifollicular zone macrophage"
NA,"Stromal Cell"
"CL:0002394","cDC1 myeloid dendritic cell"
"CL:0002399","cDC2 myeloid dendritic cell"
NA,"Monocyte-Derived DC"
"CL:0001058","Plasmacytoid Dendritic Cell"
NA,"DEC205+ DC"
"CL:1000421","Lymphatic Endothelium Cell"
"CL:0000442","Follicular Dendritic Cell (FDC)"
"CL:0000787","Memory B Cell"
"CL:0000876","Macrophage"
"CL:0000844","Germinal Center B Cell"
"CL:0002038","T Follicular Helper Cell"
NA,"T Follicular Regulatory Cell"
"CL:0000877","Tingible Body Macrophage"
NA,"Mantle Zone B Cell"
"CL:0000818","Transitional Immature B Cells"
NA,"Superficial Zone B Cell"
"CL:0000872","Macrophage"
"CL:0000492","CD4+ T cell"
"CL:0001078","Innate Lymphoid Cell (Type 3)"
"CL:1000489","Fibroblastic Reticular Cell (FRC)"
"CL:0000895","Naive CD4+ T Cell"
"CL:0000492","CD4+ T Cell"
"CL:0000900","Naive CD8+ T Cell"
"CL:0001050","CD8+ T Cell"
"CL:0000794","Cytotoxic T Cells"
"CL:0000815","T Regulatory Cell"
NA,"Interdigitating Dendritic Cells"
"CL:0000876","Macrophages"
NA,"Cytotoxic Memory T Cell"
"CL:0000909","Non-Cytotoxic CD8+ Memory T Cell"
"CL:0000897","CD4+ Memory T Cell"
"CL:0000186","Myofibroblasts"
"CL:0000798","Gamma/Delta T cells"
"CL:1000413","Blood Endothelial Cells"
"CL:0002543","Blood Endothelial Cells"
"CL:0000186","Myofibroblast"
NA,"Subcapsular Dendritic Cell"
