"ID","name"
"CL:0000945","B lineage"
"CL:0000816","immature B cell"
"CL:0000945","B lineage"
"CL:0000787","memory B cell"
"CL:0000945","B lineage"
"CL:0000788","naive B cell"
"CL:0000945","B lineage"
"CL:0000818","transitional B cell"
"CL:0001056","dendritic cell (DC)"
"CL:0002394","dendritic cell type 1 (DC1)"
"CL:0001056","dendritic cell (DC)"
"CL:0002399","dendritic cell type 2 (DC2)"
"CL:0001056","dendritic cell (DC)"
"CL:0002399","dendritic cell type 3 (DC3)"
"CL:0001056","dendritic cell (DC)"
"CL:0001058","Plasmacytoid Dendritic Cell (pDC)"
"CL:0001056","dendritic cell (DC)"
"CL:0000840","transitional Dendritic Cell (tDC)"
"CL:0000576","monocyte"
"CL:0001054","CD14 monocyte"
"CL:0000576","monocyte"
"CL:0002396","CD16 monocyte"
"CL:0000775","neutrophilic granulocyte"
"CL:0000775","neutrophil"
"CL:0000094","granulocyte"
"CL:0000771","eosinophil"
"CL:0000094","granulocyte"
"CL:0000767","basophil"
"CL:0000084","T lymphocytes"
"CL:0000895","CD4 naïve"
"CL:0000084","T lymphocytes"
"","CD4 T cell memory"
"CL:0000084","T lymphocytes"
"","CD4 T cell memory"
"CL:0000084","T lymphocytes"
"","CD4 T cell effector memory CD45RA"
"CL:0000084","T lymphocytes"
"CL:0000900","CD8 naïve"
"CL:0000084","T lymphocytes"
"","CD8 T cell memory"
"CL:0000084","T lymphocytes"
"CL:0001050","CD8 T cell effector memory"
"CL:0000084","T lymphocytes"
"CL:0001062","CD8 T cell effector memory CD45RA"
"CL:0000084","T lymphocytes"
"","mature CD8 T cell"
"CL:0000814","NK lymphocytes"
"CL:0000938","CD56 bright Natural killer"
"CL:0000814","NK lymphocytes"
"CL:0000824","mature Natural killer"
"CL:0000084","T lymphocytes"
"CL:0000815","T regulatory"
