"ID","name"
"CL:2000053","Splenic endothelial cell"
"","Catecholaminergic Neuron"
"","Catecholaminergic Neuron"
"CL:2000053","Splenic endothelial cell"
"CL:0000788","Naive B Cell"
"CL:0000787","Memory-Like B Cell"
"CL:0000972","Switched B Cell"
"","Adventitial Stromal Cell"
"","Splenic Stromal Cell (non-FRC/non-FDC)"
"","Splenic Smooth Muscle Cell"
"CL:2000053","Splenic endothelial cell"
"CL:2000053","Splenic endothelial cell"
"","Splenic Pericyte"
"","Splenic Stromal Sheath Cell"
"CL:0000874","Macrophage"
"CL:0000788","Naive B Cell"
"CL:0000787","Memory-Like B Cell"
"CL:0000972","Switched B Cell"
"","Reticular Cell of splenic sinusoid"
"","Splenic Littoral Cell"
"","Splenic Red Pulp Stromal Cell"
"CL:2000053","Splenic endothelial cell"
"CL:2000053","Splenic endothelial cell"
"CL:0000874","Red Pulp Macrophage"
"CL:0000037","Hematopoetic Stem Cell"
"CL:0001055","Monocytes"
"CL:0000232","Erythrocytes"
"","B cell"
"CL:0000625","CD8+ T Cell"
"CL:0000909","Memory CD8+ T Cell"
"CL:0000786","Plasma Cell"
"CL:0000980","Plasmablast"
"CL:0001056","Dendritic Cell"
"CL:0000233","Platelet"
"CL:0000623","NK Cell"
"","Splenic Stromal Cell (non-FRC/non-FDC)"
"CL:1000489","Red Pulp Reticular Cell"
"CL:0000232","Erythrocytes"
"CL:0001055","Monocytes"
"CL:0000775","Neutrophil"
"","Splenic perifollicular zone macrophage"
"","Stromal Cell"
"CL:0002394","cDC1 myeloid dendritic cell"
"CL:0002399","cDC2 myeloid dendritic cell"
"","Monocyte-Derived DC"
"CL:0001058","Plasmacytoid Dendritic Cell"
"","DEC205+ DC"
"CL:2000053","Splenic endothelial cell"
"CL:1000421","Lymphatic Endothelium Cell"
"CL:0000442","Follicular Dendritic Cell (FDC)"
"CL:0000788","Naive B Cell"
"CL:0000787","Memory B Cell"
"CL:0000876","Macrophage"
"","DEC205+ DC"
"CL:0000442","Follicular Dendritic Cell (FDC)"
"CL:0000844","Germinal Center B Cell"
"CL:0002038","T Follicular Helper Cell"
"","T Follicular Regulatory Cell"
"CL:0000877","Tingible Body Macrophage"
"CL:0000980","Plasmablast"
"","Mantle Zone B Cell"
"CL:0000818","Transitional Immature B Cells"
"CL:0000442","Follicular Dendritic Cell (FDC)"
"CL:2000053","Splenic endothelial cell"
"","Splenic Pericyte"
"CL:0000788","Naive B Cell"
"CL:0000787","Memory B Cell"
"CL:0000442","Follicular Dendritic Cell (FDC)"
"CL:2000053","Splenic endothelial cell"
"","Splenic Pericyte"
"CL:0000972","Switched B Cell"
"CL:0000787","Memory B Cell"
"","Superficial Zone B Cell"
"CL:0000818","Transitional Immature B Cells"
"CL:0000442","Follicular Dendritic Cell (FDC)"
"CL:0000872","Macrophage"
"","Splenic Stromal Cell (non-FRC/non-FDC)"
"CL:0001058","Plasmacytoid Dendritic Cell"
"CL:0000492","CD4+ T cell"
"CL:0000786","Plasma Cell"
"CL:0001078","Innate Lymphoid Cell (Type 3)"
"CL:0000775","Neutrophil"
"CL:2000053","Splenic endothelial cell"
"CL:1000489","Fibroblastic Reticular Cell (FRC)"
"CL:2000053","Splenic endothelial cell"
"","Adventitial Stromal Cell"
"","Catecholaminergic Neuron"
"CL:0000895","Naive CD4+ T Cell"
"CL:0000492","CD4+ T Cell"
"CL:0000900","Naive CD8+ T Cell"
"CL:0001050","CD8+ T Cell"
"CL:0000794","Cytotoxic T Cells"
"CL:0000815","T Regulatory Cell"
"CL:1000489","Fibroblastic Reticular Cell (FRC)"
"","Interdigitating Dendritic Cells"
"CL:0000876","Macrophages"
"","Catecholaminergic Neuron"
"CL:1000421","Lymphatic Endothelium Cell"
"","Splenic Smooth Muscle Cell"
"CL:0000895","Naive CD4+ T Cell"
"CL:0000492","CD4+ T Cell"
"CL:0000900","Naive CD8+ T Cell"
"CL:0001050","CD8+ T Cell"
"CL:0000794","Cytotoxic T Cells"
"CL:0000815","T Regulatory Cell"
"CL:1000489","Fibroblastic Reticular Cell (FRC)"
"CL:0000818","Transitional Immature B Cells"
"","Cytotoxic Memory T Cell"
"CL:0000909","Non-Cytotoxic CD8+ Memory T Cell"
"CL:0000897","CD4+ Memory T Cell"
"CL:0000186","Myofibroblasts"
"CL:0001058","Plasmacytoid Dendritic Cell"
"","Splenic Stromal Cell (non-FRC/non-FDC)"
"CL:0002394","cDC1 myeloid dendritic cell"
"CL:0002399","cDC2 myeloid dendritic cell"
"","DEC205+ DC "
"","Monocyte-Derived DC"
"CL:0000980","Plasmablast"
"CL:0000623","NK Cell"
"CL:0000798","Gamma/Delta T cells"
"CL:1000413","Blood Endothelial Cells"
"CL:0002543","Blood Endothelial Cells"
"","Catecholaminergic Neuron"
"CL:1000421","Lymphatic Endothelium Cell"
"CL:0000186","Myofibroblast"
"","Subcapsular Dendritic Cell"
"CL:1000421","Lymphatic Endothelium Cell"
"CL:2000053","Splenic endothelial cell"
"CL:2000053","Splenic endothelial cell"
"","Catecholaminergic Neuron"
"CL:1000421","Lymphatic Endothelium Cell"
"CL:0000186","Myofibroblast"
