"ID","name"
"CL:0000057","Fibroblast"
"CL:0000057","Adventitial Fibroblast"
"CL:0000192","Smooth Muscle"
"UBERON:0004225","Airway Smooth Muscle"
"CL:0002062","Alveolar Epithelial Type 1"
"CL:0002062","Alveolar Epithelial Type 1"
"CL:0002063","Alveolar Epithelial Type 2"
"CL:0002063","Alveolar Epithelial Type 2"
"CL:0000057","Fibroblast"
"CL:0000057","Alveolar Fibroblast"
"UBERON:0001637","Artery"
"UBERON:0001637","Artery"
"CL:0000236","B"
"CL:0000236","B"
"CL:0000646","Basal"
"CL:0000646","Basal"
"CL:0000766","Basophil/Mast"
"CL:0000766","Basophil/Mast 1"
"CL:0000766","Basophil/Mast"
"CL:0000766","Basophil/Mast 2"
"CL:0002328","Bronchial Vessel"
"CL:0002328","Bronchial Vessel 1"
"CL:0002328","Bronchial Vessel"
"CL:0002328","Bronchial Vessel 2"
"UBERON:0001982","Capillary"
"UBERON:0001982","Capillary"
"CL:0002144","Capillary Aerocyte"
"CL:0002144","Capillary Aerocyte"
"CL:0002144","Capillary Intermediate"
"CL:0002144","Capillary Intermediate 1"
"CL:0002144","Capillary Intermediate"
"CL:0002144","Capillary Intermediate 2"
"CL:0000624","CD4 T"
"CL:0000624","CD4+ Memory/Effector T"
"CL:0000624","CD4 T"
"CL:0000895","CD4+ Naive T"
"CL:0000625","CD8 T"
"CL:0000625","CD8+ Memory/Effector T"
"CL:0000625","CD8 T"
"CL:0000900","CD8+ Naive T"
"CL:0000064","Ciliated"
"CL:0000064","Ciliated"
"CL:0002057","CD14+ Monocyte"
"CL:0000860","Classical Monocyte"
"CL:0000158","Club"
"CL:0000158","Club"
"CL:0000646","Basal"
"CL:0000646","Differentiating Basal"
"CL:0000451","Dendritic"
"CL:0000451","EREG+ Dendritic"
"CL:0000192","Fibromyocyte"
"CL:0000192","Fibromyocyte"
"CL:0000160","Goblet"
"CL:0000160","Goblet"
"CL:0000451","Dendritic"
"CL:0000451","IGSF21+ Dendritic"
"CL:0002396","CD16+ Monocyte"
"CL:0002393","Intermediate Monocyte"
"CL:0005006","Ionocyte"
"CL:0005006","Ionocyte"
"CL:0000057","Lipofibroblast"
"CL:0000057","Lipofibroblast"
"UBERON:0001473","Lymphatic"
"UBERON:0001473","Lymphatic"
"CL:0000235","Macrophage"
"CL:0000235","Macrophage"
"CL:0000077","Mesothelial"
"CL:0000077","Mesothelial"
"CL:0000319","Mucous"
"CL:0000319","Mucous"
"CL:0000451","Dendritic"
"CL:0000782","Myeloid Dendritic Type 1"
"CL:0000451","Dendritic"
"CL:0000782","Myeloid Dendritic Type 2"
"CL:0000186","Myofibroblast"
"CL:0000186","Myofibroblast"
"CL:0000623","Natural Killer"
"CL:0000623","Natural Killer"
"CL:0000814","Natural Killer T"
"CL:0000814","Natural Killer T"
"CL:0000165","Neuroendocrine"
"CL:0000165","Neuroendocrine"
"CL:0002396","CD16+ Monocyte"
"CL:0000875","Nonclassical Monocyte"
"CL:0002057","CD14+ Monocyte"
"CL:0000860","OLR1+ Classical Monocyte"
"CL:0000669","Pericyte"
"CL:0000669","Pericyte"
"CL:0000786","Plasma"
"CL:0000786","Plasma"
"CL:0000784","Plasmacytoid Dendritic"
"CL:0000784","Plasmacytoid Dendritic"
"CL:0000763","Platelet/Megakaryocyte"
"CL:0000763","Platelet/Megakaryocyte"
"CL:0000646","Basal"
"CL:0000646","Proliferating Basal"
"CL:0000235","Proliferating Macrophage"
"CL:0000235","Proliferating Macrophage"
"CL:0000542","Proliferating NK/T"
"CL:0000542","Proliferating NK/T"
"CL:0000646","Basal"
"CL:0000646","Proximal Basal"
"CL:0000064","Ciliated"
"CL:0000064","Proximal Ciliated"
"CL:0000313","Serous"
"CL:0000313","Serous"
"CL:0002063","Alveolar Epithelial Type 2"
"CL:0002063","Signaling Alveolar Epithelial Type 2"
"CL:0000451","Dendritic"
"CL:0000451","TREM2+ Dendritic"
"CL:0000192","Smooth Muscle"
"CL:0000359","Vascular Smooth Muscle"
"UBERON:0001638","Vein"
"UBERON:0001638","Vein"
